typeid,numberchanges,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",9,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:23:17.8132197+02:00,0,00:00:02.1565122,0Win:vsWindowTypeDocument psake-config.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:23:19.9812337+02:00,0,00:00:03.1320802,0Win:vsWindowTypeDocument psake-config.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",7,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:23:23.3633132+02:00,0,00:00:02.9468577,0Win:vsWindowTypeDocument psake-config.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",8,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:23:26.5403141+02:00,0,00:00:02.0541666,0Win:vsWindowTypeDocument psake-config.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",6,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:23:28.8781356+02:00,0,00:00:04.7399657,0Win:vsWindowTypeDocument psake-config.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:24:20.3816787+02:00,0,00:00:02.6796498,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",9,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:24:24.3224318+02:00,0,00:00:11.4124300,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",6,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:24:36.0951344+02:00,0,00:00:03.4331060,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",9,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:24:39.9604748+02:00,0,00:00:02.4006166,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",13,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:24:42.4975738+02:00,0,00:00:03.0136021,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",11,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:24:45.777176+02:00,0,00:00:43.3064870,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",5,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:25:33.7265749+02:00,0,00:00:04.9281630,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",12,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:25:38.9657473+02:00,0,00:00:02.3659855,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",6,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:25:41.4857797+02:00,0,00:00:05.3250910,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",9,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:25:46.9198722+02:00,0,00:00:02.3414674,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",5,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:25:49.3303415+02:00,0,00:00:03.1286330,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",13,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:25:52.7131464+02:00,0,00:00:02.0754826,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",4,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:25:55.5764448+02:00,0,00:00:04.9788216,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",3,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:26:16.2192488+02:00,0,00:00:03.1204762,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:26:20.1542368+02:00,0,00:00:12.3299652,0Win:vsWindowTypeDocument extensions.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:26:36.4552835+02:00,0,00:00:04.3049610,0Win:vsWindowTypeDocument extensions.ps1
