typeid,mode,reason,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow,activedocument
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:05.297901+02:00,0,00:00:00.4290084,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:05.7274086+02:00,0,00:00:02.0883225,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:07.8162303+02:00,0,00:00:00.2550061,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:08.0722344+02:00,0,00:00:01.5280209,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:09.6012509+02:00,0,00:00:00.3050031,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:09.907259+02:00,0,00:00:01.8104822,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:11.7187425+02:00,0,00:00:00.2800034,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:11.9992451+02:00,0,00:00:02.4243809,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:14.4241256+02:00,0,00:00:03.7422523,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:18.1668779+02:00,0,00:00:01.2603735,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:19.4277523+02:00,0,00:00:00.2979378,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:19.7261901+02:00,0,00:00:01.7176561,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:21.4443434+02:00,0,00:00:00.2823361,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:21.7271795+02:00,0,00:00:00.6439119,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:22.3840903+02:00,0,00:00:00.2694706,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:22.6540605+02:00,0,00:00:00.5112447,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:23.1663061+02:00,0,00:00:00.2708586,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:23.438166+02:00,0,00:00:01.1878042,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:24.6269699+02:00,0,00:00:00.2664741,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:24.8944412+02:00,0,00:00:00.7633187,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,2016-06-23T00:25:25.6587591+02:00,0,00:00:00.2775041,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
