typeid,scope,action,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow,activedocument
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,12:16:04.3255462,0,00:00:00.0461229,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:JSON \src\EasyContracts2\project.json
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,12:16:04.3255462,0,00:00:00.0451202,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:JSON \src\EasyContracts2\project.json
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,12:16:40.6028339,0,00:00:01.4008294,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,12:16:40.6038672,0,00:00:01.3997961,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,fbcdffc5-b444-4262-bbb6-52c091caea79,0.1010-Default,12:18:13.4241385,0,00:00:01.1317495,0Win:vsWindowTypeDocument HiwiTest.cs,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,fbcdffc5-b444-4262-bbb6-52c091caea79,0.1010-Default,12:18:29.0158543,0,00:00:00.0156245,0Win:vsWindowTypeDocument HiwiTest.cs,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,fbcdffc5-b444-4262-bbb6-52c091caea79,0.1010-Default,12:18:43.6722618,0,00:00:00.0290779,0Win:vsWindowTypeToolWindow Test Explorer,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,fbcdffc5-b444-4262-bbb6-52c091caea79,0.1010-Default,12:18:47.6451074,0,00:00:00.0250997,0Win:vsWindowTypeToolWindow Test Explorer,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,fbcdffc5-b444-4262-bbb6-52c091caea79,0.1010-Default,12:20:38.3672639,0,00:00:01.4558323,0Win:vsWindowTypeToolWindow Test Explorer,0Doc:JSON project.json
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,865c04fb-082e-457e-9f69-2d7971d8d2ca,0.1010-Default,13:30:48.5222465,0,00:00:01.7060621,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
